new_vm_test_flow/s,vm_test_bytes/s,new_vm_victim_flow/s,vm_victim_bytes/s
5,0,1,0
5,490,1,98
5,490,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,196
5,490,1,98
5,686,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,490,1,98
5,588,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,686,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,98
5,490,1,196
5,588,1,98
5,490,1,98
5,490,31,2737640
5,490,31,2317604
5,490,31,2196062
4,294,31,2163440
4,490,31,1706168
4,98,31,1671368
4,392,31,1743480
4,392,31,2002740
5,98,31,2340996
5,490,31,2411466
5,3626,31,6325504
5,392,31,3331230
5,392,31,3586662
5,294,31,3806598
5,294,31,3608064
5,392,31,3631598
5,294,31,3552384
5,416990,31,3206646
4,294,31,3116340
4,392,31,2897796
4,294,31,3177414
4,294,31,3193564
4,392,31,3534560
4,490,31,3274082
4,392,31,2956010
4,392,31,3122974
5,392,31,2579126
5,490,31,2625062
5,490,31,3304880
5,392,31,3047012
5,392,31,2690312
5,392,31,2744774
5,392,31,42804
5,294,31,0
5,490,31,0
5,294,31,0
5,196,31,0
5,490,31,0
5,294,31,0
5,294,30,0
5,392,28,0
5,294,0,0
5,294,0,0
5,196,0,0
5,294,0,0
5,0,0,0
5,196,0,0
5,294,0,0
5,196,0,0
5,392,0,0
5,392,0,0
5,392,0,0
5,98,0,0
5,98,0,0
5,392,0,0
5,196,0,0
5,294,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,392,0,0
5,490,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,196,0,0
5,294,0,0
5,392,0,0
5,392,0,0
5,196,0,0
5,490,0,0
5,98,0,0
5,98,0,0
5,294,0,0
5,294,0,0
5,392,0,0
5,490,0,0
5,294,0,0
5,98,0,0
5,196,0,0
5,196,0,0
5,392,0,0
5,98,0,0
5,392,0,0
5,196,0,0
5,392,0,0
5,98,0,0
5,294,0,0
5,490,0,0
5,490,0,0
5,196,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,294,0,0
5,98,0,0
5,196,0,0
5,196,0,0
5,196,0,0
5,196,0,0
5,490,0,0
5,392,0,0
5,392,0,0
5,392,0,0
5,196,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,98,0,0
5,392,0,0
5,392,0,0
5,294,0,0
5,196,0,0
5,392,0,0
5,196,0,0
5,588,0,0
5,196,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,98,0,0
5,294,0,0
5,196,0,0
5,392,0,0
5,294,0,0
5,294,0,0
5,490,0,0
5,392,0,0
5,392,0,0
5,294,0,0
5,0,0,0
5,294,0,0
5,196,0,0
5,294,0,0
5,490,0,0
5,392,0,0
5,392,0,0
5,98,0,0
5,392,0,0
5,98,0,0
5,588,0,0
5,490,0,0
5,294,0,0
5,294,0,0
5,294,0,0
5,98,0,0
5,392,0,0
5,294,0,0
5,294,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,196,0,0
5,294,0,0
5,490,0,0
5,294,0,0
5,392,0,0
5,392,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,98,0,0
5,294,0,0
5,392,0,0
5,490,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,490,0,0
5,294,0,0
5,294,0,0
5,196,0,0
5,196,0,0
5,196,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,392,0,0
5,196,0,0
5,196,0,0
5,98,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,490,0,0
5,294,0,0
5,196,0,0
5,588,0,0
5,392,0,0
5,294,0,0
5,294,0,0
5,294,0,0
5,490,0,0
5,196,0,0
5,392,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,98,0,0
5,490,0,0
5,392,0,0
5,294,0,0
5,294,0,0
5,196,0,0
5,588,0,0
5,294,0,0
5,392,0,0
5,392,0,0
5,294,0,0
5,392,0,0
5,196,0,0
5,294,0,0
5,392,0,0
5,490,0,0
5,392,0,0
5,392,0,0
5,392,0,0
5,490,0,0
5,686,0,0
5,294,0,0
5,294,0,0
5,294,0,0
5,392,0,0
5,294,0,0
5,196,0,0
5,392,0,0
5,196,0,0
